epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1037.99,1.23788,1.33335,1.62835,0.75245,0.58419,0.64315,0.41332,1.46365,1.38353,1.81279,0.008581,0.008581,0.008581
45,1060.69,1.23336,1.34047,1.61839,0.75942,0.5878,0.64969,0.4221,1.44098,1.42243,1.79614,0.008548,0.008548,0.008548
46,1081.84,1.22358,1.32148,1.61344,0.78709,0.59561,0.65827,0.42902,1.39722,1.3318,1.76549,0.008515,0.008515,0.008515
47,1105.22,1.24437,1.33654,1.62177,0.76054,0.61267,0.66303,0.42568,1.42971,1.38412,1.77677,0.008482,0.008482,0.008482
48,1126.31,1.21203,1.28319,1.59666,0.73997,0.61758,0.67053,0.442,1.40131,1.2994,1.76233,0.008449,0.008449,0.008449
49,1150.4,1.20881,1.28379,1.59847,0.78517,0.60685,0.66744,0.44051,1.3809,1.2615,1.73461,0.008416,0.008416,0.008416
50,1172.99,1.20574,1.30634,1.60128,0.77053,0.61926,0.68545,0.4517,1.36555,1.27537,1.71931,0.008383,0.008383,0.008383
51,1194.09,1.21235,1.27824,1.59595,0.80056,0.63123,0.68273,0.44906,1.35958,1.28415,1.73097,0.00835,0.00835,0.00835
52,1215.25,1.20153,1.26544,1.58867,0.78442,0.61844,0.67291,0.44185,1.39661,1.30767,1.7506,0.008317,0.008317,0.008317
53,1239.34,1.20161,1.2521,1.58439,0.77398,0.6156,0.68473,0.44823,1.38561,1.29828,1.7224,0.008284,0.008284,0.008284
54,1263.03,1.20148,1.27392,1.58908,0.82289,0.61546,0.6807,0.44913,1.39324,1.30824,1.75235,0.008251,0.008251,0.008251
55,1284.79,1.20421,1.27001,1.58069,0.73703,0.63611,0.68279,0.44852,1.40057,1.34853,1.74715,0.008218,0.008218,0.008218
56,1307.42,1.19559,1.25201,1.58486,0.69236,0.58434,0.61905,0.40588,1.43688,1.48516,1.76338,0.008185,0.008185,0.008185
57,1333.05,1.17614,1.227,1.56593,0.76397,0.62717,0.69113,0.4441,1.4182,1.31624,1.73679,0.008152,0.008152,0.008152
58,1354.75,1.1556,1.20587,1.55083,0.78189,0.63008,0.68859,0.4547,1.38954,1.23953,1.72879,0.008119,0.008119,0.008119
59,1377.77,1.19042,1.20994,1.57483,0.80633,0.61286,0.67784,0.45332,1.38152,1.25458,1.71992,0.008086,0.008086,0.008086
60,1402.57,1.20044,1.21495,1.57105,0.78962,0.66215,0.71445,0.46363,1.39576,1.1858,1.74236,0.008053,0.008053,0.008053
61,1423.63,1.20307,1.23913,1.58121,0.76369,0.63186,0.69675,0.46517,1.3467,1.22941,1.69752,0.00802,0.00802,0.00802
62,1447.28,1.1856,1.22271,1.56347,0.7806,0.63727,0.70556,0.47216,1.35161,1.19685,1.70358,0.007987,0.007987,0.007987
63,1471.5,1.15474,1.17744,1.54861,0.80652,0.64972,0.70732,0.47515,1.32695,1.17453,1.68705,0.007954,0.007954,0.007954
64,1492.53,1.1544,1.17833,1.54618,0.82755,0.63199,0.7032,0.46571,1.36313,1.16426,1.71793,0.007921,0.007921,0.007921
65,1516.79,1.17079,1.19344,1.55848,0.75496,0.64236,0.69662,0.45964,1.38043,1.24404,1.69918,0.007888,0.007888,0.007888
66,1540.08,1.16556,1.1885,1.5452,0.80772,0.64592,0.70609,0.47246,1.33006,1.16847,1.67862,0.007855,0.007855,0.007855
67,1561.14,1.14946,1.19134,1.54243,0.80768,0.62793,0.70463,0.47351,1.32878,1.21191,1.68089,0.007822,0.007822,0.007822
68,1586.16,1.17035,1.19296,1.55442,0.79368,0.63799,0.70197,0.47089,1.34313,1.16755,1.69447,0.007789,0.007789,0.007789
69,1608.61,1.17501,1.18784,1.55364,0.80712,0.63912,0.7057,0.47579,1.31989,1.16812,1.67729,0.007756,0.007756,0.007756
70,1630.83,1.16645,1.18848,1.54896,0.76431,0.65296,0.70343,0.46489,1.34412,1.17329,1.67172,0.007723,0.007723,0.007723
71,1656.39,1.15562,1.15043,1.53271,0.82424,0.63698,0.70868,0.47012,1.36322,1.16935,1.68794,0.00769,0.00769,0.00769
72,1681.75,1.1582,1.15783,1.5383,0.80865,0.65468,0.71271,0.47458,1.34355,1.13846,1.69033,0.007657,0.007657,0.007657
73,1707.28,1.1656,1.172,1.54723,0.82313,0.65068,0.71453,0.47943,1.34711,1.1615,1.69512,0.007624,0.007624,0.007624
74,1729.29,1.14917,1.15377,1.53615,0.80502,0.66678,0.71704,0.4804,1.31804,1.17861,1.65672,0.007591,0.007591,0.007591
75,1751.92,1.14099,1.15162,1.52751,0.78581,0.65273,0.71499,0.48049,1.32626,1.16607,1.67717,0.007558,0.007558,0.007558
76,1775.99,1.1599,1.17155,1.5452,0.82666,0.65114,0.71597,0.48606,1.32811,1.12479,1.65628,0.007525,0.007525,0.007525
77,1797.15,1.15861,1.15256,1.53262,0.79031,0.68461,0.72913,0.49636,1.30172,1.12504,1.64383,0.007492,0.007492,0.007492
78,1821.31,1.12487,1.12571,1.51769,0.84203,0.65934,0.73238,0.49619,1.30087,1.10341,1.64533,0.007459,0.007459,0.007459
79,1843.94,1.14203,1.13672,1.52344,0.81938,0.6599,0.73133,0.49252,1.31332,1.10301,1.65529,0.007426,0.007426,0.007426
80,1866.26,1.14096,1.14371,1.52578,0.81213,0.66985,0.72665,0.49482,1.29681,1.10898,1.65039,0.007393,0.007393,0.007393
81,1890.58,1.12868,1.13496,1.52265,0.82015,0.68275,0.73268,0.49734,1.32299,1.09796,1.65936,0.00736,0.00736,0.00736
82,1911.72,1.13213,1.11991,1.51577,0.83662,0.67509,0.74043,0.50092,1.30979,1.05075,1.64074,0.007327,0.007327,0.007327
83,1935.88,1.11371,1.11972,1.50663,0.8212,0.66233,0.71476,0.47798,1.33459,1.1232,1.66076,0.007294,0.007294,0.007294
84,1958.51,1.13553,1.11773,1.51795,0.82278,0.68608,0.73697,0.50527,1.29418,1.07173,1.64418,0.007261,0.007261,0.007261
85,1980.09,1.141,1.12108,1.51835,0.81944,0.6738,0.74002,0.50079,1.32681,1.06788,1.6486,0.007228,0.007228,0.007228
86,2004.53,1.11671,1.09908,1.50148,0.83216,0.663,0.729,0.49837,1.29058,1.07736,1.63215,0.007195,0.007195,0.007195
87,2025.58,1.12318,1.11632,1.51688,0.81973,0.67467,0.72147,0.48745,1.33363,1.12315,1.66584,0.007162,0.007162,0.007162
88,2049.48,1.11568,1.09373,1.49789,0.82275,0.66825,0.72961,0.48843,1.32553,1.08651,1.64165,0.007129,0.007129,0.007129
89,2072.12,1.12256,1.10606,1.50687,0.79782,0.67267,0.72457,0.49525,1.31372,1.0887,1.64227,0.007096,0.007096,0.007096
90,2094.15,1.0978,1.06429,1.4916,0.81506,0.67674,0.73342,0.50788,1.26818,1.05492,1.60691,0.007063,0.007063,0.007063
91,2119.7,1.12484,1.10691,1.50533,0.81547,0.69516,0.74458,0.50616,1.29135,1.04662,1.61939,0.00703,0.00703,0.00703
92,2144.1,1.11042,1.07677,1.50352,0.83457,0.67007,0.74262,0.50808,1.28387,1.03557,1.61664,0.006997,0.006997,0.006997
93,2165.15,1.11135,1.08179,1.49943,0.79973,0.68677,0.74322,0.50988,1.29349,1.03923,1.61393,0.006964,0.006964,0.006964
94,2189.2,1.1049,1.07984,1.49348,0.81711,0.67985,0.7316,0.49965,1.28664,1.06608,1.618,0.006931,0.006931,0.006931
95,2211.64,1.10029,1.07742,1.49839,0.87173,0.66525,0.74472,0.51096,1.29329,1.03939,1.62566,0.006898,0.006898,0.006898
96,2233.66,1.10059,1.07731,1.49134,0.82851,0.67558,0.73591,0.50193,1.30022,1.03683,1.63784,0.006865,0.006865,0.006865
97,2257.83,1.08837,1.05445,1.48484,0.83231,0.68277,0.74957,0.50934,1.28406,1.02139,1.61417,0.006832,0.006832,0.006832
98,2278.88,1.11655,1.07843,1.49662,0.83337,0.67404,0.74079,0.50511,1.28618,1.05513,1.60246,0.006799,0.006799,0.006799
99,2303.21,1.09359,1.05966,1.47721,0.81034,0.68643,0.7406,0.50132,1.3,1.0369,1.63107,0.006766,0.006766,0.006766
100,2325.4,1.09912,1.07914,1.49198,0.84912,0.69057,0.75319,0.51585,1.26379,1.00739,1.60111,0.006733,0.006733,0.006733
101,2347.6,1.08265,1.04606,1.47441,0.84757,0.68457,0.74967,0.51459,1.27961,0.98647,1.61475,0.0067,0.0067,0.0067
102,2372.8,1.10819,1.06794,1.48308,0.85952,0.67264,0.75478,0.52381,1.25953,1.00097,1.58749,0.006667,0.006667,0.006667
103,2395.53,1.08719,1.06003,1.47725,0.84872,0.6912,0.75266,0.51397,1.25838,1.01693,1.60206,0.006634,0.006634,0.006634
104,2416.44,1.08231,1.0403,1.4756,0.84935,0.6762,0.75424,0.51254,1.2944,1.0158,1.61924,0.006601,0.006601,0.006601
105,2441.27,1.08406,1.05416,1.47941,0.82968,0.69062,0.75132,0.51076,1.26985,1.01495,1.60282,0.006568,0.006568,0.006568
106,2465.77,1.08115,1.04072,1.48042,0.86102,0.68269,0.75918,0.51712,1.27227,1.00322,1.59921,0.006535,0.006535,0.006535
107,2486.81,1.07316,1.0472,1.4677,0.84337,0.69821,0.75772,0.51723,1.26621,0.99687,1.5846,0.006502,0.006502,0.006502
108,2511.08,1.07997,1.03774,1.47526,0.88001,0.67237,0.75683,0.51882,1.27162,0.99806,1.60799,0.006469,0.006469,0.006469
109,2536.57,1.07776,1.02792,1.46859,0.83509,0.69434,0.75536,0.52007,1.26043,0.9866,1.58699,0.006436,0.006436,0.006436
110,2557.63,1.07571,1.02546,1.46786,0.82571,0.70253,0.75421,0.51551,1.27449,1.01366,1.59896,0.006403,0.006403,0.006403
111,2581.25,1.07141,1.02255,1.47219,0.86603,0.69466,0.75932,0.51786,1.26649,0.99039,1.60373,0.00637,0.00637,0.00637
112,2607.28,1.07914,1.02814,1.46525,0.86065,0.70226,0.75433,0.51623,1.25349,0.98455,1.59117,0.006337,0.006337,0.006337
113,2628.93,1.07456,1.01863,1.46626,0.85933,0.6921,0.75213,0.51839,1.24603,0.99348,1.58795,0.006304,0.006304,0.006304
114,2652.14,1.07212,1.02067,1.45287,0.81954,0.69875,0.74838,0.51407,1.26468,0.99657,1.59509,0.006271,0.006271,0.006271
115,2678.1,1.08196,1.03726,1.47019,0.8547,0.69182,0.76642,0.53096,1.22413,0.94795,1.57227,0.006238,0.006238,0.006238
116,2700.05,1.06421,1.01509,1.45529,0.82936,0.70985,0.75682,0.51744,1.25789,0.98107,1.58553,0.006205,0.006205,0.006205
117,2722.71,1.05845,1.00478,1.45921,0.86464,0.69211,0.76278,0.52328,1.24753,0.97479,1.5745,0.006172,0.006172,0.006172
118,2748.57,1.06872,1.00665,1.46127,0.87663,0.68873,0.76558,0.52921,1.23561,0.96116,1.57213,0.006139,0.006139,0.006139
119,2770.99,1.05716,1.00207,1.45717,0.83505,0.70969,0.76051,0.52723,1.23322,0.98055,1.55934,0.006106,0.006106,0.006106
120,2792.99,1.06849,1.00768,1.45674,0.84754,0.725,0.7687,0.53214,1.22641,0.95373,1.55836,0.006073,0.006073,0.006073
121,2818.99,1.04487,0.9966,1.443,0.84437,0.71022,0.76458,0.53708,1.2276,0.94689,1.55658,0.00604,0.00604,0.00604
122,2841.81,1.05428,0.98844,1.45011,0.85794,0.70138,0.76904,0.53879,1.23378,0.9481,1.56969,0.006007,0.006007,0.006007
123,2863.76,1.05535,0.99203,1.44601,0.84581,0.7076,0.76825,0.53576,1.2268,0.95501,1.55891,0.005974,0.005974,0.005974
124,2889.64,1.04879,0.97984,1.44811,0.8539,0.71172,0.7638,0.53272,1.22474,0.95771,1.55081,0.005941,0.005941,0.005941
125,2912.3,1.05537,0.97793,1.44261,0.83138,0.71124,0.76402,0.53081,1.20893,0.95257,1.54822,0.005908,0.005908,0.005908
126,2934.35,1.05305,0.98649,1.44535,0.84696,0.69861,0.7639,0.53189,1.20998,0.9459,1.5472,0.005875,0.005875,0.005875
127,2960.3,1.0349,0.98578,1.43845,0.84508,0.72403,0.77104,0.53546,1.21236,0.9359,1.54788,0.005842,0.005842,0.005842
