epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2174.29,1.24467,1.345,1.63099,0.77811,0.61163,0.65653,0.41639,1.50995,1.47402,1.93951,0.008614,0.008614,0.008614
44,2224.75,1.23835,1.34069,1.62823,0.77734,0.61372,0.67256,0.41694,1.53462,1.42941,1.9596,0.008581,0.008581,0.008581
45,2274.65,1.23275,1.32919,1.61266,0.76769,0.61103,0.66448,0.42578,1.45771,1.46641,1.89097,0.008548,0.008548,0.008548
46,2324.73,1.2204,1.30535,1.61208,0.75845,0.61639,0.66461,0.427,1.46178,1.42893,1.87644,0.008515,0.008515,0.008515
47,2374.07,1.24155,1.3224,1.6153,0.78663,0.58687,0.66612,0.4281,1.48151,1.42931,1.85884,0.008482,0.008482,0.008482
48,2423.51,1.20719,1.27067,1.58983,0.74389,0.60026,0.66154,0.40397,1.574,1.51158,1.96492,0.008449,0.008449,0.008449
49,2472.35,1.21047,1.29045,1.60078,0.78431,0.62024,0.68069,0.43089,1.4749,1.3473,1.87795,0.008416,0.008416,0.008416
50,2521.23,1.20717,1.28026,1.59636,0.73396,0.63988,0.67468,0.42942,1.49873,1.39446,1.89054,0.008383,0.008383,0.008383
51,2570.31,1.21275,1.27048,1.59646,0.76196,0.62521,0.67442,0.43272,1.47979,1.42183,1.86097,0.00835,0.00835,0.00835
52,2618.67,1.19892,1.26407,1.58974,0.75122,0.59377,0.66003,0.40134,1.55106,1.47397,1.95126,0.008317,0.008317,0.008317
53,2667.2,1.19668,1.24636,1.5833,0.7719,0.62519,0.6714,0.41984,1.48092,1.43506,1.87776,0.008284,0.008284,0.008284
54,2716.33,1.20956,1.25891,1.58935,0.80383,0.64071,0.69165,0.44934,1.43906,1.34834,1.85413,0.008251,0.008251,0.008251
55,2765.24,1.20197,1.24536,1.57683,0.79916,0.65076,0.71082,0.44685,1.44595,1.31909,1.83637,0.008218,0.008218,0.008218
56,2814.99,1.20214,1.24675,1.58342,0.757,0.63474,0.67429,0.42652,1.47448,1.41324,1.86622,0.008185,0.008185,0.008185
57,2865.57,1.17671,1.22396,1.56332,0.81834,0.61069,0.69468,0.43933,1.47493,1.32023,1.84924,0.008152,0.008152,0.008152
58,2914.88,1.15561,1.19122,1.54887,0.79351,0.63287,0.67709,0.42595,1.49656,1.3779,1.90182,0.008119,0.008119,0.008119
59,2963.68,1.18552,1.20792,1.56825,0.79054,0.65202,0.70993,0.45684,1.44082,1.29501,1.84165,0.008086,0.008086,0.008086
60,3012.21,1.19153,1.19341,1.55974,0.74831,0.66247,0.70172,0.44676,1.44526,1.34416,1.84104,0.008053,0.008053,0.008053
61,3060.75,1.20117,1.21843,1.56948,0.79622,0.65116,0.70182,0.44175,1.46276,1.34034,1.85137,0.00802,0.00802,0.00802
62,3110.58,1.18117,1.21311,1.5618,0.8054,0.64611,0.7125,0.4652,1.40063,1.33014,1.788,0.007987,0.007987,0.007987
63,3160.58,1.1575,1.17324,1.54476,0.79785,0.64964,0.70989,0.46485,1.39081,1.28171,1.80355,0.007954,0.007954,0.007954
64,3209.83,1.15254,1.17173,1.5436,0.82456,0.66062,0.70957,0.4643,1.41601,1.30455,1.8143,0.007921,0.007921,0.007921
65,3258.36,1.16319,1.17613,1.54933,0.8149,0.64993,0.70708,0.45342,1.43243,1.29258,1.8165,0.007888,0.007888,0.007888
66,3306.97,1.16311,1.16741,1.54147,0.77033,0.67897,0.7186,0.46996,1.40217,1.23438,1.79159,0.007855,0.007855,0.007855
67,3356.15,1.14628,1.16213,1.53737,0.85479,0.63616,0.72602,0.46971,1.40838,1.25099,1.8046,0.007822,0.007822,0.007822
68,3405.53,1.17292,1.17506,1.54599,0.79716,0.65089,0.708,0.44835,1.45478,1.30577,1.82383,0.007789,0.007789,0.007789
69,3453.91,1.17245,1.1671,1.54387,0.75898,0.67378,0.71335,0.46863,1.3846,1.26588,1.75609,0.007756,0.007756,0.007756
70,3502.54,1.15509,1.16894,1.53344,0.80856,0.64555,0.70923,0.45401,1.4433,1.3126,1.81019,0.007723,0.007723,0.007723
71,3551.66,1.1449,1.13409,1.52819,0.83943,0.65349,0.72077,0.4673,1.42319,1.24554,1.81674,0.00769,0.00769,0.00769
72,3600.24,1.15382,1.14154,1.53307,0.80369,0.6758,0.72927,0.47826,1.40832,1.2095,1.79942,0.007657,0.007657,0.007657
73,3649,1.15821,1.15433,1.53603,0.81972,0.65994,0.72565,0.47516,1.41482,1.27169,1.80822,0.007624,0.007624,0.007624
74,3697.63,1.14726,1.13378,1.52578,0.7998,0.662,0.72769,0.48039,1.40556,1.25071,1.79611,0.007591,0.007591,0.007591
75,3746.31,1.13247,1.13841,1.51716,0.79333,0.67595,0.72482,0.48288,1.39526,1.26407,1.8096,0.007558,0.007558,0.007558
76,3795.55,1.15519,1.14703,1.53671,0.83004,0.641,0.72009,0.47076,1.40681,1.23895,1.78962,0.007525,0.007525,0.007525
77,3844.92,1.15078,1.12652,1.51779,0.80346,0.68418,0.73769,0.48781,1.38659,1.18096,1.77133,0.007492,0.007492,0.007492
78,3894.38,1.11676,1.10077,1.50325,0.78639,0.6813,0.72995,0.48321,1.35681,1.21953,1.75399,0.007459,0.007459,0.007459
79,3944.56,1.12919,1.11449,1.51221,0.79818,0.66907,0.72289,0.48216,1.36428,1.25529,1.77608,0.007426,0.007426,0.007426
80,3993.89,1.1286,1.10787,1.51542,0.81299,0.67458,0.73353,0.48991,1.38342,1.21561,1.77449,0.007393,0.007393,0.007393
81,4042.63,1.12542,1.10628,1.51438,0.8203,0.68524,0.73962,0.49008,1.37193,1.18791,1.76684,0.00736,0.00736,0.00736
82,4091.44,1.12516,1.09028,1.50566,0.81278,0.6764,0.7356,0.48579,1.3882,1.17332,1.76818,0.007327,0.007327,0.007327
83,4140.38,1.11061,1.08188,1.49925,0.84367,0.66603,0.73562,0.4875,1.37507,1.19902,1.76984,0.007294,0.007294,0.007294
84,4189.38,1.12446,1.07976,1.50252,0.82754,0.67585,0.73597,0.49075,1.38236,1.19107,1.76947,0.007261,0.007261,0.007261
85,4238.17,1.13338,1.08793,1.50343,0.82095,0.68278,0.74392,0.49428,1.36044,1.16561,1.73806,0.007228,0.007228,0.007228
86,4286.87,1.11577,1.0765,1.49852,0.79658,0.70338,0.74423,0.49857,1.36005,1.176,1.74013,0.007195,0.007195,0.007195
87,4335.36,1.11627,1.08555,1.50198,0.81167,0.69058,0.73876,0.4866,1.38317,1.18059,1.76858,0.007162,0.007162,0.007162
88,4383.9,1.10892,1.06109,1.4866,0.82452,0.6835,0.74995,0.4961,1.37563,1.16796,1.75762,0.007129,0.007129,0.007129
89,4433.22,1.11235,1.0735,1.49067,0.83342,0.67598,0.75076,0.50118,1.3452,1.16698,1.73934,0.007096,0.007096,0.007096
90,4482.47,1.08901,1.02987,1.47759,0.83059,0.69342,0.75145,0.50785,1.33057,1.14024,1.73161,0.007063,0.007063,0.007063
91,4531.03,1.11394,1.06012,1.48901,0.84412,0.68847,0.75457,0.49903,1.36917,1.15958,1.77125,0.00703,0.00703,0.00703
92,4579.72,1.09796,1.05314,1.49029,0.84603,0.68556,0.75583,0.49784,1.373,1.13702,1.7578,0.006997,0.006997,0.006997
93,4628.82,1.09566,1.06239,1.48515,0.8456,0.69505,0.75638,0.50428,1.34496,1.12173,1.73528,0.006964,0.006964,0.006964
94,4678.54,1.09643,1.0503,1.48054,0.82762,0.6934,0.7485,0.50503,1.35664,1.15635,1.74153,0.006931,0.006931,0.006931
95,4728.42,1.09197,1.04406,1.48341,0.8501,0.68209,0.75442,0.50663,1.34154,1.13595,1.73211,0.006898,0.006898,0.006898
96,4777.51,1.09673,1.04834,1.48223,0.84676,0.6939,0.76751,0.51581,1.33133,1.10279,1.71247,0.006865,0.006865,0.006865
97,4825.88,1.0747,1.03201,1.4725,0.84422,0.70313,0.77185,0.50529,1.349,1.11355,1.74484,0.006832,0.006832,0.006832
98,4874.43,1.10043,1.04388,1.48012,0.84069,0.70123,0.76563,0.51533,1.33254,1.08715,1.73822,0.006799,0.006799,0.006799
