epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1976.37,1.24569,1.34013,1.63257,0.76728,0.61418,0.66948,0.42109,1.50464,1.36262,1.89213,0.008581,0.008581,0.008581
45,2021.15,1.23841,1.33021,1.62279,0.72803,0.62048,0.6426,0.41296,1.49087,1.52723,1.87363,0.008548,0.008548,0.008548
46,2065.88,1.22424,1.32692,1.61887,0.79179,0.59961,0.66348,0.43082,1.46611,1.40047,1.84891,0.008515,0.008515,0.008515
47,2110.58,1.24656,1.3432,1.63513,0.77405,0.60927,0.66561,0.41987,1.47266,1.42703,1.85761,0.008482,0.008482,0.008482
48,2155.36,1.21153,1.29151,1.60462,0.80334,0.61011,0.67855,0.43686,1.42285,1.36358,1.80964,0.008449,0.008449,0.008449
49,2200.07,1.21934,1.29694,1.61552,0.78512,0.61349,0.67414,0.43344,1.47052,1.33822,1.82836,0.008416,0.008416,0.008416
50,2244.81,1.21442,1.29774,1.61005,0.72615,0.60856,0.6566,0.41879,1.46712,1.37738,1.85347,0.008383,0.008383,0.008383
51,2289.49,1.21258,1.2785,1.60767,0.77643,0.62195,0.66997,0.4397,1.42941,1.35793,1.80681,0.00835,0.00835,0.00835
52,2334.23,1.20501,1.2634,1.60225,0.76407,0.60433,0.668,0.41927,1.4884,1.40426,1.84529,0.008317,0.008317,0.008317
53,2379.01,1.20196,1.25449,1.59265,0.78048,0.60298,0.66143,0.43063,1.43977,1.38183,1.80682,0.008284,0.008284,0.008284
54,2423.81,1.20683,1.26972,1.59439,0.83495,0.636,0.70257,0.46088,1.40687,1.26091,1.80155,0.008251,0.008251,0.008251
55,2468.59,1.20762,1.26805,1.58718,0.76356,0.62623,0.68121,0.43936,1.44327,1.36379,1.80356,0.008218,0.008218,0.008218
56,2513.31,1.20831,1.2607,1.59997,0.75847,0.65164,0.68498,0.43898,1.44446,1.31304,1.81345,0.008185,0.008185,0.008185
57,2558.11,1.18081,1.23224,1.57292,0.76981,0.63384,0.68865,0.44489,1.45078,1.28892,1.7948,0.008152,0.008152,0.008152
58,2602.86,1.15701,1.20361,1.55594,0.77137,0.6504,0.7003,0.45033,1.42338,1.30006,1.78143,0.008119,0.008119,0.008119
59,2647.66,1.18907,1.22173,1.57919,0.81623,0.62798,0.69533,0.46052,1.40775,1.26182,1.77029,0.008086,0.008086,0.008086
60,2692.44,1.19894,1.20935,1.56924,0.75103,0.64251,0.69002,0.44218,1.45974,1.3402,1.80404,0.008053,0.008053,0.008053
61,2737.21,1.20219,1.23855,1.58065,0.79059,0.62332,0.69718,0.45551,1.40908,1.26465,1.76629,0.00802,0.00802,0.00802
62,2781.96,1.18529,1.22531,1.57475,0.75869,0.62655,0.67902,0.4379,1.4318,1.37843,1.79409,0.007987,0.007987,0.007987
63,2826.74,1.16251,1.18703,1.55443,0.79269,0.64381,0.70172,0.4591,1.42086,1.24305,1.78108,0.007954,0.007954,0.007954
64,2871.52,1.15721,1.17489,1.54999,0.82616,0.647,0.71925,0.47363,1.37648,1.19887,1.7403,0.007921,0.007921,0.007921
